category,sku,product,description,price,breadcrumb,product_url,money_back,rating,total_reviews
Sleep Apnea,,ResMed AirFit™ N20 for Her Nasal Mask,"This nasal mask is the female version of the AirFit N20. It's specifically crafted to provide a woman with a mask that fits her unique facial features and adapts to the way she sleeps.
Key FeaturesSize OptionsAirFit N20 For Her GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",209,Home > Sleep Apnea > CPAP Masks > Nasal Masks > ResMed AirFit™ N20 for Her Nasal Mask,https://shop.resmed.com.au/resmed-airfit-n20-for-her-nasal-mask/,True,4.3,6
Sleep Apnea,SKU:38810,ResMed HumidX™ (6 Pack),"6 pack of HumidX capsules for use with AirMini™ compatible AirFit™ nasal and nasal pillows mask systems. Each one provides waterless humidification when used with a ResMed AirMini CPAP machine.
HumidX are small heat and moisture exchangers (HME) designed to provide you with a comfortable experience at home or on holiday. You can use HumidX in almost any climate or sleep environment.When you exhale, heat and moisture is stored within the HME's tiny paper ridges. When you inhale, this heat and moisture is released to humidify the air you breathe in.Each pack contains 6 capsules for use.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",59,Home > Sleep Apnea > CPAP Accessories > Humidifiers > ResMed HumidX™ (6 Pack),https://shop.resmed.com.au/resmed-humidx-6-pack/,False,4.1,23
Sleep Apnea,SKU:64161,ResMed AirFit™ F30 Mask Headgear,"Replacement headgear for the AirFit F30 full face mask.
High quality headgear for ResMed AirFit F30",85,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed AirFit™ F30 Mask Headgear,https://shop.resmed.com.au/resmed-airfit-f30-headgear/,False,4.7,3
Sleep Apnea,,ResMed Gecko Nasal Pad,"Hypoallergenic, latex-free and fully washable, helps to reduce facial sores and mask leaks and improve overall comfort.
These comfortable soft strips are placed across the nasal bridge to help reduce skin irritation and facial sores, minimize mask leak and improve overall mask comfort. Each pad lasts about a month. Daily cleaning required. The Gecko Pads are made from polymer gel composed of USP grade mineral oil. They are non-toxic, fully washable, hypoallergenic. They do not contain natural rubber latex, or silicone. Available in Large and Small sizes. Suitable for nasal and full face masks. ",25,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed Gecko Nasal Pad,https://shop.resmed.com.au/resmed-gecko-nasal-pad/,False,2.9,15
Sleep Apnea,,ResMed AirFit™ F20 for Her Full Face Mask,"The ResMed AirFit F20 for Her full face mask is the female version of the AirFit F20. Designed specifically to give women a more personalised mask that better meets her unique facial features and adapts to the way she sleeps.
Key FeaturesSize OptionsAirFit F20 for Her GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",229,Home > Sleep Apnea > CPAP Masks > Full Face Masks > ResMed AirFit™ F20 for Her Full Face Mask,https://shop.resmed.com.au/resmed-airfit-f20-for-her-full-face-mask/,True,3.9,15
Sleep Apnea,SKU:61294,ResMed Elbow Assembly for Quattro CPAP Mask,"Replacement Elbow Assembly for ResMed Quattro Mirage Full Face Mask.
",39,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed Elbow Assembly for Quattro CPAP Mask,https://shop.resmed.com.au/resmed-elbow-assembly-for-quattro-cpap-mask/,False,0,0
Sleep Apnea,,ResMed AirFit™ P10 Mask Cushion,"These nasal pillow inserts are colour coded and have left and right orientation for quick and easy fitting.
",70,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed AirFit™ P10 Mask Cushion,https://shop.resmed.com.au/resmed-airfit-p10-pillow-insert/,False,4.5,18
Sleep Apnea,,REMZzz Nasal Padded Liners for Philips Masks,"RemZzz will help you and your mask become friends and acts as a barrier between the skin of your face and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights.
RemZzz will help you and your mask become friends and acts as a barrier between the skin of your face and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights.",50,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners for Philips Masks,https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-philips-masks/,False,4,1
Sleep Apnea,,REMZzz Full Face Padded Liners for ResMed and Philips Masks,"RemZzz will help you and your mask become friends and acts as a barrier between the skin of your face and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights.
RemZzz will help you and your mask become friends and acts as a barrier between the skin of your face and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights.",50,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Full Face Padded Liners for ResMed and Philips Masks,https://shop.resmed.com.au/remzzz-full-face-padded-liners-for-resmed-and-philips-masks/,False,3.1,7
Sleep Apnea,,REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks,"RemZzz acts as a barrier between your skin and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights.
RemZzz will help you and your mask become friends and acts as a barrier between the skin of your face and the silicone of your mask's cushion, virtually eliminating all of the most common problems associated with wearing a CPAP mask. And best of all, it's very comfortable! This pack includes liners for 30 nights. ",50,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks,https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-resmed-and-fisher-paykel-masks/,False,3,2
Sleep Apnea,SKU:38823,ResMed AirMini™ N20 Setup Kit (No Mask),"This setup pack enables you to connect your ResMed AirFit™ N20, AirFit N20 Classic or AirTouch™ N20 mask to the ResMed AirMini CPAP machine. It includes an AirMini N20 Connector, HumidX and HumidX Plus, and flexible AirMini tubing.
ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",75,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed AirMini™ N20 Setup Kit (No Mask),https://shop.resmed.com.au/resmed-airmini-n20-setup-kit/,True,0,0
Sleep Apnea,SKU:62762,ResMed Quattro™ Air or AirFit™ F10 Mask Elbow,"Replacement Elbow for ResMed Quattro Air and AirFit F10 Full Face Mask.
",45,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed Quattro™ Air or AirFit™ F10 Mask Elbow,https://shop.resmed.com.au/resmed-quattro-air-or-f10-mask-elbow/,False,5,1
Sleep Apnea,,ResMed Quattro™ Air Mask Frame,"The Quattro Air mask frame comes with a flex-wing forehead support that feels light on your face while providing the right amount of stability for a dependable seal.
",80,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed Quattro™ Air Mask Frame,https://shop.resmed.com.au/resmed-quattro-air-mask-frame/,False,0,0
Sleep Apnea,,ResMed Quattro™ Mask Cushion with Clip,"Replacement Cushion and Clip for ResMed Quattro Mirage Full Face Mask.
",95,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed Quattro™ Mask Cushion with Clip,https://shop.resmed.com.au/resmed-quattro-cushion-with-clip/,False,4.3,3
Sleep Apnea,,ResMed Quattro™ Air or AirFit™ F10 Mask Cushion,"The Spring AirTM cushion is soft and fits comfortably on your face for maximum comfort. You can feel confident about consistently getting a good night's sleep.
The Spring Air cushion features dual walls for a comfortable fit.You can feel confident about consistently getting a good night's sleep.",95,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed Quattro™ Air or AirFit™ F10 Mask Cushion,https://shop.resmed.com.au/resmed-quattro-air-or-airfit-f10-cushion/,False,4.7,3
Sleep Apnea,,ResMed Quattro™ Air Mask Headgear for Her,"Replacement Headgear for ResMed Quattro Air Mask. Choose Pink in the For Her series.
The Quattro Air replacement headgear is available in a smaller size.Comes in Small or Standard sizes.",80,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed Quattro™ Air Mask Headgear for Her,https://shop.resmed.com.au/resmed-quattro-air-headgear-for-her/,False,0,0
Sleep Apnea,,ResMed Quattro™ Air Mask Headgear,"Replacement Headgear for ResMed Quattro Air Mask.
The Quattro Air replacement headgear is available in a smaller size.Comes in Small or Standard sizes.",80,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed Quattro™ Air Mask Headgear,https://shop.resmed.com.au/resmed-quattro-air-mask-headgear/,False,5,1
Sleep Apnea,,ResMed Mirage Quattro™ Mask Frame,"Replacement Frame for Mirage Quattro Full Face Mask.
",76.5,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed Mirage Quattro™ Mask Frame,https://shop.resmed.com.au/resmed-mirage-quattro-mask-frame/,False,0,0
Sleep Apnea,,ResMed Mirage Quattro™ Mask Cushion Clip,"Replacement cushion clip for ResMed's Mirage Quattro Full Face mask.
This replaceable cushion clip comes in various sizes to better fit your face.Choose from X-Small, Small, Medium, or Large.",6,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed Mirage Quattro™ Mask Cushion Clip,https://shop.resmed.com.au/resmed-mirage-quattro-cushion-clip/,False,0,0
Snoring,SKU:7078706,SnoreRx ®,"The SnoreRx mouthpiece is a simple, cost-effective treatment designed to reduce snoring. You can customise it yourself so it fits your mouth comfortably.
Safe to use All components are made from premium copolymer materials. There are no latex, screws, wires, nuts, bolts or springs.Customised fit You customise SnoreRx using the ‘boil and bite’ process to make an accurate impression of your mouth.Adjustable SnoreRx is the only anti-snoring mouthpiece that offers precise calibration in 1mm increments. No tools are required to set or reset. SnoreRx is a semi-custom mandibular advancement device (MAD) that gently advances the lower jaw forward. It opens your airway at night, improves breathing and reduces the irritating snoring sound. Unlike other snoring mouthguards, SnoreRx can be calibrated to a custom setting at any time in 1 millimeter increments to provide optimal comfort and effectiveness.SnoreRx is comprised of two medical-grade copolymers. All components are latex-free and hypoallergenic.SnoreRx uses the boil-and-bite process to create a custom impression of your teeth. If your current impression does not clearly display well-defined teeth marks, you may repeat the custom fitting steps. The custom fitting steps can be done a total of two times.SnoreRx's patented design accomodates adjustment of the lower jaw in one millimeter increments. The lower jaw can be adjusted up to six millimeters.We recommend to use SnoreRx on the 1 millimeter setting the first night of use. If snoring is not reduced after 3 to 5 nights, the setting can be advanced one additional millimeter. Each setting should be worn a minimum of 3 to 5 nights prior to adjusting. Most users find that snoring is significantly reduced on a setting of 3 to 5 millimeters. SnoreRx should not be used by individuals who:ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",99,Home > Sleep Apnea > CPAP Alternatives > SnoreRx ®,https://shop.resmed.com.au/snore-rx/,True,2.8,85
Sleep Apnea,SKU:7ANPK,REMZzz Nasal Pillow Padded Liners (30 pack),"
",50,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Pillow Padded Liners (30 pack),https://shop.resmed.com.au/remzzz-nasal-pillow-padded-liners-30-pack/,False,0,0
Sleep Apnea,SKU:64159,ResMed AirFit - F30 - Frame (Standard),"
",95,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Headgear > ResMed AirFit - F30 - Frame (Standard),https://shop.resmed.com.au/resmed-airfit-f30-frame-standard/,False,0,0
Sleep Apnea,SKU:7ANPS,REMZzz Nasal Pillow Padded Liners (SAMPLE 6 pack),"
",15,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Pillow Padded Liners (SAMPLE 6 pack),https://shop.resmed.com.au/remzzz-nasal-pillow-padded-liners-sample-6-pack/,False,0,0
Sleep Apnea,SKU:37394,ResMed Airsense10 Tubing Elbow,"
",9.95,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed Airsense10 Tubing Elbow,https://shop.resmed.com.au/resmed-airsense10-tubing-elbow/,False,0,0
Sleep Apnea,SKU:62962,ResMed AirFit P10 Headgear Clips (2pack),"
",7.5,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed AirFit P10 Headgear Clips (2pack),https://shop.resmed.com.au/resmed-airfit-p10-headgear-clips-2pack/,False,5,2
Sleep Apnea,,REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks (SAMPLE 6 pack),"
",15,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks (SAMPLE 6 pack),https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-resmed-and-fisher-paykel-masks-sample-6-pack/,False,1,1
Sleep Apnea,,REMZzz Nasal Padded Liners for Philips Masks (SAMPLE 6 pack),"
",15,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners for Philips Masks (SAMPLE 6 pack),https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-philips-masks-sample-6-pack/,False,0,0
Sleep Apnea,SKU:10ANXK,REMZzz Nasal Padded Liners Extra Small (30 pack),"
",50,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners Extra Small (30 pack),https://shop.resmed.com.au/remzzz-nasal-padded-liners-extra-small-30-pack/,False,0,0
Sleep Apnea,SKU:10ANXS,REMZzz Nasal Padded Liners Extra Small (SAMPLE 6 pack),"
",15,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > REMZzz Nasal Padded Liners Extra Small (SAMPLE 6 pack),https://shop.resmed.com.au/remzzz-nasal-padded-liners-extra-small-sample-6-pack/,False,0,0
Sleep Apnea,SKU:37310,ResMed Airsense10 Air Outlet,"
",9.95,Home > Sleep Apnea > CPAP Accessories > CPAP Machine Parts > ResMed Airsense10 Air Outlet,https://shop.resmed.com.au/resmed-airsense10-air-outlet/,False,5,2
Sleep Apnea,SKU:36851,Filters for ResMed S9™ and AirSense™ 10 (2 Pack),"
",5.9,Home > Sleep Apnea > CPAP Accessories > CPAP Filters > Filters for ResMed S9™ and AirSense™ 10 (2 Pack),https://shop.resmed.com.au/filters-for-resmed-s9-and-airsense-10-2-pack/,False,4.3,43
Sleep Health,SKU:7078708,Silk Eye Mask,"Look forward to a deep, refreshing night's rest with this deliberately over-sized silk sleeping mask.
Look forward to a deep, refreshing night’s rest with this deliberately oversized, 100% pure silk sleeping mask and eyeshade.It shuts out the maximum amount of distracting light.The padded strap prevents hair entanglement.Choose from blue or black.",55,Home > Sleep Health > Fall Asleep Faster > Silk Eye Mask,https://shop.resmed.com.au/silk-eye-mask/,True,2,1
Sleep Health,SKU:113491,The Little Box of Sleep,"Everything you need to create a better sleep ritual.
Welcome to your Little Box of Sleep.Designed to help you create a better sleep ritual.Your little box of sleep includes:The soft contoured eye mask is designed to block out all light without putting pressure on your eyes. Easy to wear with an adjustable, stretchable velcro strap for the perfect fit.  The Sweet Dreams light bulbs can help improve the quality and duration of your sleep. The sleep enhancing LED light supports your natural sleep cycle and allows your body to prepare for sleep. The specialised colour spectrum delivers warm evening lighting that supports natural melatonin production. For best results turn off other artificial lighting and electronics and use the Sweet Dream light bulbs for about an hour before going to bed.Sleepy Time tea is an aromatic infusion of caffeine-free herbs. Specially blended to help you relax and unwind at the end of a busy day. Made from organic ingredients. Contains chamomile, lime blossom, skullcap, hops, lemon balm and passion flower. Best to drink this 30 min before you go to bed.Sweet dreams. ",69,Home > Sleep Health > Pre-Bedtime Aids > The Little Box of Sleep,https://shop.resmed.com.au/the-little-box-of-sleep/,False,0,0
Sleep Health,,Bambi Cooltouch Flip Ingeo Pillow,"The Bambi Cool Touch Ingeo Corn Fibre Flip Pillow boasts a cool side for warm nights and a regular side for normal sleep
",89,Home > Sleep Health > Pillows > Bambi Cooltouch Flip Ingeo Pillow,https://shop.resmed.com.au/bambi-cooltouch-flip-ingeo-pillow/,False,0,0
Sleep Health,,Bambi Cooltouch Pillow Protector,"Stay comfortable all year long with Bambi’s Cooltouch Active Flip Pillow Protector
Stay comfortable all year long with Bambi’s Cooltouch™ Active Flip Pillow Protector.This remarkable product is designed for all year-round comfort, as it features two different surfaces: on one side a silky soft TENCEL-blend fabric perfect for the cooler months and on the other, Bambi’s revolutionary CoolTouch Active fabric which gives cooling relief in the warmer months.This remarkable product has an upper layer of low heat-conducting natural MICA mineral fibres.Unlike many cooling products on the market, this product is not gel infused, rather the natural MICA mineral fibres are woven into the fabric, meaning the fabric stays cool to the touch, regardless of how many times it is used, or laundered.As you’d expect, the Flip Pillow Protector protects your pillow against stains, spills, dust mites and other nasties. It is also fully waterproof, asthma and allergy friendly and comes with Bambi’s 5 year product guarantee. The protector can be machine washed and tumble dried on a low heat.",39,Home > Sleep Health > Pillows > Bambi Cooltouch Pillow Protector,https://shop.resmed.com.au/bambi-cooltouch-pillow-protector/,False,3.3,3
Sleep Health,SKU:BND168,Block Blue Light Family Pack,"Block Blue Light  Family Pack includes:
Artificial blue light can negatively impact your sleep. When you expose yourself to blue light that comes from smartphones, tablets, laptops or even lighting in your home this supresses melatonin which is your natural sleep chemical in your brain that helps you fall asleep. Changing your screen colour alone isn’t enough for limiting the impact of portable electronic devices on melatonin levels at night, and you should always wear Blue light-blocking glasses if you are going to use any light emitting device in bed at night.",199,Home > Sleep Health > Glasses > Block Blue Light Family Pack,https://shop.resmed.com.au/block-blue-light-family-pack/,False,0,0
Bestsellers,SKU:38813,ResMed HumidX™ Plus (6 Pack),"6 pack of HumidX Plus capsules for use with AirMini™ compatible AirFit™ nasal and nasal pillows mask systems. Each one provides waterless humidification when used with a ResMed AirMini CPAP machine.
HumidX are small heat and moisture exchangers (HME) designed to provide you with a comfortable experience at home or on holiday.HumidX Plus can be used in dry and high altitude environments where humidity is low. For instance, if you are traveling by plane, this would be the perfect solution.When you exhale, heat and moisture is stored within the HME's tiny paper ridges. When you inhale, this heat and moisture is released to humidify the air you breathe in.Each pack contains 6 capsules for use.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",59,Home > Bestsellers > ResMed HumidX™ Plus (6 Pack),https://shop.resmed.com.au/resmed-humidx-plus-6-pack/,False,4,20
Bestsellers,,ResMed AirFit™ N30i Nasal Cradle Mask,"The Airfit N30i CPAP mask is a nasal cradle mask designed to keep tubing out of the way and free the way to sleep any way you want. With a self-adjusting Springfit frame and 3 different cushion sizes you can choose the right fit for you and move freely during the night with better comfort.
Key Features Size GuideAirFit N30i GuidesAirFit N30i masks can easily be used with most CPAP devices (except the ResMed AirMini due to its specialised ventilation system).ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",229,Home > Sleep Apnea > CPAP Masks > Nasal Cradle Masks > ResMed AirFit™ N30i Nasal Cradle Mask,https://shop.resmed.com.au/resmed-airfit-n30i-nasal-cradle-mask/,True,4,23
Bestsellers,,ResMed AirFit™ P10 Pillows Mask,"The AirFit P10 nasal pillows mask comes complete with frame, a selection of nasal pillows, and an adjustable QuickFit™ elastic headgear. Select blue ""Standard"" (incl. S, M, and L nasal pillows) or pink ""for Her"" (incl. XS, S, and M nasal pillows).
Key FeaturesSize OptionsAirFit P10 GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",209,Home > Sleep Apnea > CPAP Masks > Nasal Pillow Masks > ResMed AirFit™ P10 Pillows Mask,https://shop.resmed.com.au/resmed-airfit-p10-pillows-mask/,True,4.3,36
Bestsellers,,ResMed AirTouch™ F20 Cushion (3 Pack),"Pack of 3 x soft, breathable, UltraSoft memory foam cushions for ResMed's AirTouch F20 or AirFit™ F20 full face mask.
The UltraSoft memory foam cushion for the AirTouch F20 full-face mask brings comfort to your CPAP therapy. This replaceable cushion adapts to your facial profile to deliver outstanding fit and seal, but remains breathable. The memory foam minimises contact pressure on your skin, reducing the likelihood of red facial marks on your skin.To ensure optimum comfort, it's recommended to replace the AirTouch UltraSoft memory foam cushion every 4 weeks.This pack includes 3 x UltraSoft memory foam cushions. These cushions can also be used with the AirFit F20 full face mask frame.",69,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed AirTouch™ F20 Cushion (3 Pack),https://shop.resmed.com.au/resmed-airtouch-f20-cushion-3pk/,False,4.4,195
Bestsellers,,ResMed AirFit™ N20 Nasal Mask,"Designed to fit any face shape or size, the AirFit N20 moves comfortably with you through the night, providing a secure fit and comfortable seal tailored to your therapy needs.
Key FeaturesSize OptionsAirFit N20 GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",209,Home > Sleep Apnea > CPAP Masks > Nasal Masks > ResMed AirFit™ N20 Nasal Mask,https://shop.resmed.com.au/resmed-airfit-n20-nasal-mask/,True,4.1,33
Bestsellers,,ResMed AirFit™ P30i Pillows Mask,"The Airfit P30i CPAP mask is a nasal cradle mask designed to keep tubing out of the way and give back the freedom to sleep any way you want. With a soft-fitting frame that is designed to keep you supported all night,  and our QuietAir™ vent designed to minimise noise this mask is an ideal fit for quiet nights with our partners.
Key FeaturesSize OptionsAirFit P30i GuidesAirFit P30i masks can easily be used with most CPAP devices (except the ResMed AirMini due to its specialised ventilation system).ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL. ",229,Home > Sleep Apnea > CPAP Masks > Nasal Pillow Masks > ResMed AirFit™ P30i Pillows Mask,https://shop.resmed.com.au/resmed-airfit-p30i-pillows-mask/,True,3.7,23
Bestsellers,,ResMed AirFit™ F30i Full Face Mask,"AirFit F30i is a minimal-contact full face mask, designed for all sleeping positions. Designed with two magnetic clips to slip your mask on and off with ease. The under-the-nose cushion gives you the freedom to relax and watch a show before bed, by giving you a wider frame of vision. While the mouth cover delivers consistent humidity and comfort for mouth breathers.
ResMed AirFit F30i full face mask features a comfortable UltraCompact cushion and top-of-head tube connection, so you have the freedom to sleep in many positions. Thanks to the under-the-nose cushion, red marks and discomfort on your nasal bridge are a thing of the past.Key FeaturesSize OptionsAirFit F30i GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL. ",249,Home > Sleep Apnea > CPAP Masks > Full Face Masks > ResMed AirFit™ F30i Full Face Mask,https://shop.resmed.com.au/resmed-airfit-f30i-full-face-mask/,True,3.7,27
Bestsellers,SKU:38140,ResMed AirMini™ Automatic CPAP Machine,"ResMed Airmini is a portable travel CPAP device that can be used as an everyday CPAP machine. Ensure that you have the appropriate,
Please ensure that you have a compatible AirFit™ & AirTouch™ Mask listed below together with a setup pack to use with the AirMini.Compatible AirFit™ / AirTouch™ MaskRequired Setup Pack Enjoy the warmth and comfort of humidification without the hassle. ResMed's HumidX™ system delivers a similar level of humidification to our market-leading bedside devices*** with the added convenience of being a compact waterless system.** AirMini AppDownload the AirMini app on the  or .Features / CPAP MachineAirSense 10 Elite FixedPressure CPAP MachineAirSense 10 Autoset Auto MachineAirSense 10 Autoset for HerAuto MachineAirMini Automatic CPAP MachineCPAP✓✓✓✓AutoSet ✓✓✓AutoSet for Her  ✓✓Cheyne-Stokes respiration detection✓✓✓✓Central apnea detection✓✓✓✓RERA reporting  ✓✓AutoSet algorithm with AutoSet Response ✓✓✓AutoRamp with sleep onset detection✓✓✓✓Advanced HumidAir technology✓✓✓ Enhanced Climate Control Auto✓✓✓ Waterless Humidification   ✓Expiratory Pressure Relief (EPR™)✓✓✓✓SmartStart™✓✓✓✓Aircraft use*✓✓✓✓Pressure: 4 to 20 cm H2O✓✓✓✓Sound pressure level26.6 dBA26.6 dBA26.6 dBA30dB withuncertainty of 2 dBAWeight1248g1248g1248g300gDimensions(Height x Depth x Width)116mm x 150mm x 255mm116mm x 150mm x 255mm116mm x 150mm x 255mm52mm x 84mm x 136mmMask Compatilibity**All MasksAll MasksAll MasksSelected ResMed MasksData Connectivity***Card to Cloud4G***4G***Bluetooth*ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",1565,Home > Sleep Apnea > CPAP Machines > Travel Sized Machines > ResMed AirMini™ Automatic CPAP Machine,https://shop.resmed.com.au/ResMed-AirMini-Smallest-CPAP-AutoSet-Device/,True,4.8,4
Bestsellers,SKU:7078706,SnoreRx ®,"The SnoreRx mouthpiece is a simple, cost-effective treatment designed to reduce snoring. You can customise it yourself so it fits your mouth comfortably.
Safe to use All components are made from premium copolymer materials. There are no latex, screws, wires, nuts, bolts or springs.Customised fit You customise SnoreRx using the ‘boil and bite’ process to make an accurate impression of your mouth.Adjustable SnoreRx is the only anti-snoring mouthpiece that offers precise calibration in 1mm increments. No tools are required to set or reset. SnoreRx is a semi-custom mandibular advancement device (MAD) that gently advances the lower jaw forward. It opens your airway at night, improves breathing and reduces the irritating snoring sound. Unlike other snoring mouthguards, SnoreRx can be calibrated to a custom setting at any time in 1 millimeter increments to provide optimal comfort and effectiveness.SnoreRx is comprised of two medical-grade copolymers. All components are latex-free and hypoallergenic.SnoreRx uses the boil-and-bite process to create a custom impression of your teeth. If your current impression does not clearly display well-defined teeth marks, you may repeat the custom fitting steps. The custom fitting steps can be done a total of two times.SnoreRx's patented design accomodates adjustment of the lower jaw in one millimeter increments. The lower jaw can be adjusted up to six millimeters.We recommend to use SnoreRx on the 1 millimeter setting the first night of use. If snoring is not reduced after 3 to 5 nights, the setting can be advanced one additional millimeter. Each setting should be worn a minimum of 3 to 5 nights prior to adjusting. Most users find that snoring is significantly reduced on a setting of 3 to 5 millimeters. SnoreRx should not be used by individuals who:ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",99,Home > Sleep Apnea > CPAP Alternatives > SnoreRx ®,https://shop.resmed.com.au/snore-rx/,True,2.8,85
Bestsellers,SKU:37299,ResMed HumidAir™ Standard Tub for Air10™ & Lumis™,"Providing you with relief from dryness and congestion. Once you have filled it with water and connected it, you’re ready to go.
Designed to seamlessly integrate with your AirSense™ 10, AirCurve™ 10 or Lumis™ device and provide you with relief from dryness and congestion.Once you have filled the HumidAir tub with water and connected it, you’re ready to go. The humidity levels can be adjusted accordingly to your level of comfort.When used with the ClimateLineAir™ heated tube, it warms the air at a consistent, comfortable temperature that minimises condensation and rainout.We recommend replacing your Standard HumidAir tub every 6 months.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",85,Home > Bestsellers > ResMed HumidAir™ Standard Tub for Air10™ & Lumis™,https://shop.resmed.com.au/resmed-humidair-standard-tub-for-air10-lumis/,False,4.3,16
